x,y,label
-15.5098528229,10.8484842142,airdflavelle_twitter
1.55340788004,20.9560511106,DarrylPlecas_twitter
-24.1368790039,17.9042081593,Mike_de_Jong_twitter
6.56533796362,-5.7797042867,PreetRaiBC_twitter
-13.8779155053,-3.49998721245,lindalarsonbc_twitter
9.33584005959,-3.89035618174,AnneKangNDP_twitter
-7.69319959833,-6.86860062928,rick_mcgowan_twitter
-1.69121347424,-0.38529789827,karenxbwang_twitter
-66.650589129,84.701334184,rajchouhan_twitter
-0.106951728673,12.8592361332,garrisondukebc_twitter
24.2495720699,21.6578519087,katrinacburnaby_twitter
-1.99965703982,17.8481828907,stevedarling_twitter
13.6666104337,-40.8546547833,doajoe_twitter
0.794928874546,6.8747374749,Richard_T_Lee_twitter
-14.7887877832,-5.13788264746,janetburnabyndp_twitter
-25.1719378577,-0.126017984951,donnabarnett_bc_twitter
-0.269678255145,-9.47810709199,giesbrechtrita_twitter
-13.2318422407,-12.1856714104,scotty_quesnel_twitter
-15.7676996222,-2.50251950086,richardejaques_twitter
-10.5639571474,12.0656457126,coraleeoakes_twitter
-39.9165555587,50.2990003848,WayneFroese_twitter
-3.20952036334,21.849432376,JohnMartin4BC_twitter
-16.0447107151,27.592330525,patti_macahonic_twitter
16.2283903193,2.81903339601,samsonboyer1_twitter
-15.925899282,8.72428961177,clovechok_twitter
6.24778849056,5.74702556402,taftgerry_twitter
4.82946277926,14.0073797197,joan_isaacs_twitter
23.9743107715,-16.6363470163,iandsoutar_twitter
7.25137181659,0.458842139123,jbtwickens_twitter
11.6586838997,24.246574283,stevekimbc_twitter
4.84919678827,-23.3372518504,selinarobinson_twitter
11.0984222991,-1.13236524886,nicspurling_twitter
-44.7218053379,-84.7568316216,ronnaraeleonard_twitter
2.18697093459,-3.21777642751,soniafurstenau_twitter
-22.003329563,-13.3108806573,houssersteve_twitter
3.50733343031,-15.415017435,LoriIanni_twitter
20.6340771328,-18.4924053003,ian_s_morrison_twitter
-9.9613555779,23.9791662246,Scott4Delta_twitter
-0.8439440933,-11.2414045707,kahlonrav_twitter
-22.067560154,21.6968819747,jacquieemiller_twitter
-21.7120263226,-4.81118130064,larrycolero_twitter
-6.49137750767,13.4808179045,ianpatondelta_twitter
-20.4776799363,-14.0779916113,mrnicholaswong_twitter
8.13385930196,-6.23081862244,mitzideanbc_twitter
-1.39851414721,25.1053862241,barbdesjardins_twitter
25.2241686629,4.81077648595,martayformla_twitter
-5.37758840478,-21.9708845053,josh_steffler_twitter
-12.6417371066,32.4088077328,AGreen4BCGreens_twitter
